CoC Name,CoC Number,Year,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Male,Overall Homeless - Female,Overall Homeless - Transgender,Overall Homeless - Nonbinary Gender,Overall Homeless - White,Overall Homeless - Black or African American,Overall Homeless - Asian or Asian American,Overall Homeless - American Indian or Alaska Native,Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless - Hispanic/Latino,Overall Homeless - Non-Hispanic/Non-Latino,Label
Anchorage CoC,AK-500,2022,1494.0,0.1218206157965194,0.0970548862115127,0.7811244979919679,0.6117804551539491,0.3821954484605087,0.0053547523427041,0.000669344042838,0.2985274431057563,0.0689424364123159,0.0247657295850066,0.356760374832664,0.1151271753681392,0.1358768406961178,0.0542168674698795,0.9457831325301204,3
Alaska Balance of State CoC,AK-501,2022,826.0,0.1767554479418886,0.0702179176755447,0.7530266343825666,0.6089588377723971,0.3886198547215496,0.0,0.0024213075060532,0.4503631961259079,0.0217917675544794,0.0060532687651331,0.3849878934624697,0.0169491525423728,0.1198547215496368,0.0399515738498789,0.9600484261501212,3
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,2022,943.0,0.0869565217391304,0.0455991516436903,0.8674443266171792,0.7051961823966065,0.2820784729586426,0.009544008483563,0.0031813361611876,0.3054082714740191,0.6564156945917285,0.0021208907741251,0.0106044538706256,0.0,0.0254506892895015,0.0339342523860021,0.966065747613998,0
Mobile City & County/Baldwin County CoC,AL-501,2022,585.0,0.252991452991453,0.0512820512820512,0.6957264957264957,0.6017094017094017,0.3931623931623931,0.0034188034188034,0.0017094017094017,0.3641025641025641,0.5914529914529915,0.0017094017094017,0.0051282051282051,0.0034188034188034,0.0341880341880341,0.0358974358974358,0.964102564102564,0
Florence/Northwest Alabama CoC,AL-502,2022,232.0,0.2413793103448276,0.0775862068965517,0.6810344827586207,0.2672413793103448,0.7327586206896551,0.0,0.0,0.6939655172413793,0.2543103448275862,0.0,0.0,0.0,0.0517241379310344,0.1853448275862069,0.6681034482758621,3
Huntsville/North Alabama CoC,AL-503,2022,549.0,0.1930783242258652,0.0692167577413479,0.7377049180327869,0.5719489981785064,0.4207650273224044,0.0018214936247723,0.0,0.5191256830601093,0.3460837887067395,0.0255009107468123,0.02367941712204,0.0018214936247723,0.0837887067395264,0.058287795992714,0.941712204007286,3
Montgomery City & County CoC,AL-504,2022,278.0,0.1007194244604316,0.0467625899280575,0.8525179856115108,0.762589928057554,0.237410071942446,0.0,0.0,0.2661870503597122,0.697841726618705,0.0035971223021582,0.0,0.0035971223021582,0.0287769784172661,0.0107913669064748,0.9892086330935252,0
Gadsden/Northeast Alabama CoC,AL-505,2022,190.0,0.0105263157894736,0.0578947368421052,0.9315789473684212,0.631578947368421,0.3684210526315789,0.0,0.0,0.5842105263157895,0.4157894736842105,0.0,0.0,0.0,0.0,0.0105263157894736,0.9894736842105264,3
Tuscaloosa City & County CoC,AL-506,2022,40.0,0.1,0.0,0.9,0.5,0.5,0.0,0.0,0.15,0.825,0.0,0.0,0.0,0.025,0.025,0.975,0
Alabama Balance of State CoC,AL-507,2022,935.0,0.3893048128342246,0.0684491978609625,0.5422459893048128,0.3786096256684492,0.6203208556149733,0.0010695187165775,0.0,0.2919786096256684,0.6748663101604279,0.002139037433155,0.0064171122994652,0.0032085561497326,0.0213903743315508,0.041711229946524,0.958288770053476,0
Little Rock/Central Arkansas CoC,AR-500,2022,859.0,0.119906868451688,0.1548311990686845,0.7252619324796274,0.6658905704307334,0.3317811408614668,0.0,0.0023282887077997,0.4866123399301513,0.459837019790454,0.0139697322467986,0.0186263096623981,0.0023282887077997,0.0186263096623981,0.1746216530849825,0.8253783469150174,3
