CoC Number,Street Address,City,State,Zip Code
AK-500,3427 E Tudor Road Suite A,Anchorage,AK,99507
AK-501,319 Seward St. #7,Juneau,AK,99801
AL-500,1515 6th Avenue South,Birmingham,AL,35233
AL-501,"3929 Airport Blvd., Building 3, Suite 200",Mobile,AL,36609
AL-502,"118 E. Mobile Street, Suite 300",Florence,AL,35630
AL-503,"1580 Sparkman Drive, Suite 111",Huntsville,AL,35816
AL-504,101 Coliseum Boulevard,Montgomery,AL,36109
AL-506,2201 University Blvd.,Tuscaloosa,AL,35401
AL-507,P.O. Box 451,Montgomery,AL,36101
AR-500,"201 S. Broadway, Suite 220",Little Rock,AR,72201
AR-501,"12 W Dickson St, Suite 3643",Fayetteville,AR,72701
AR-503,PO Box 1180,Hot Springs,AR,71902
AR-505,2503 Belle Meade Dr,Pine Bluff,AR,71601
AZ-500,"1110 W. Washington Street, Suite 280",Phoenix,AZ,85007
AZ-501,2797 E. Ajo Way,Tucson,AZ,85713
AZ-502,"1275 West Washington Street, Suite 108",Tempe,AZ,85281
CA-500,"2310 N. First St., Suite 201",San Jose,CA,95131
CA-501,440 Turk Street,San Francisco,CA,94102
CA-502,"224 W. Winton Ave., Room 108",Hayward,CA,94544
CA-503,"2150 River Plaza Drive, Suite 385",Sacramento,CA,95833
CA-504,1440 Guerneville Road,Santa Rosa,CA,95403
CA-505,"2400 Bisso Lane, #D2",Concord,CA,94520
CA-506,1942 Fremont Boulevard,Seaside,CA,93955
CA-507,"1177 Francisco Blvd E, Suite B",San Rafael,CA,94901
CA-508,1000 Emeline Ave,Santa Cruz,CA,95060
CA-509,747 South State Street,Ukiah,CA,95482
CA-510,251 Hackett Rd.,Modesto,CA,95358
CA-511,2431 W. March Lane Ste. 350,Stockton,CA,95207
CA-512,1 Davis Drive,Belmont,CA,94002
CA-513,P.O. Box 1742,Visalia,CA,93279
CA-514,1331 Fulton Street,Fresno,CA,93721
CA-515,"HRCS, Atwood Road",Auburn,CA,95604
CA-516,1450 Court Street Suite 108,Redding,CA,96001
CA-517,"2751 Napa Valley Corporate Drive, Bldg. B",Napa,CA,94558
CA-518,701 Civic Center Blvd.,Suisun City,CA,94585
CA-519,202 Mira Loma Drive,Oroville,CA,95965
CA-520,2115 West Wardrobe Ave,Merced,CA,95341
CA-521,"285 Court Street, Suite 207",Woodland,CA,95695
CA-522,507 F St,Eureka,CA,95501
CA-523,420 E. Laurel Street,Willows,CA,95988
CA-524,"1521 Butte House Road, Suite C",Yuba City,CA,95993
CA-525,2900 Fairlane Ct,Placerville,CA,95667
CA-526,10590 Highway 88,Jackson,CA,95642
CA-527,1805 Walnut Street,Red Bluff,CA,96080
CA-529,PO Box 1024,Lucerne,CA,95458
CA-530,137 E. South Street,Bishop,CA,93514
CA-531,P.O. Box 130,Auburn,CA,95604
CA-600,"811 Wilshire Boulevard, 6th Floor",Los Angeles,CA,90017
CA-601,4699 Murphy Canyon Rd.,San Diego,CA,92123
CA-602,405 W. 5th Street,Santa Ana,CA,92701
CA-603,"123 E. Anapamu St., Suite 202",Santa Barbara,CA,93101
CA-604,601 24th Street,Bakersfield,CA,93301
CA-606,1301 W. 12th Street,Long Beach,CA,90813
CA-607,649 N. Fair Oaks Ave. Suite 202,Pasadena,CA,91103
CA-608,"3040 10th Street, Suite 300",Riverside,CA,92501
CA-609,"215 North D Street, Suite 301",San Bernardino,CA,92415
CA-611,855 Partridge Drive,Ventura,CA,93003
CA-612,"141 N. Glendale Ave., Room 202",Glendale,CA,91206
CA-613,"2995 S. 4th St., Suite 105",El Centro,CA,92243
CA-614,3433 South Higuera St,San Luis Obispo,CA,93401
CO-500,2111 Champa Street,Denver,CO,80205
CO-503,711 Park Ave West,Denver,CO,80205
CO-504,"121 S. Tejon Street, Suite 601",Colorado Springs,CO,80903
CT-503,"855 Main Street, 10th Fl",Bridgeport,CT,6604
CT-505,257 Lawrence Street,Hartford,CT,6106
DC-500,"801 Pennsylvania Avenue SE, Suite 360",Washington,DC,20003
DE-500,"100 West 10th Street, Suite 611",Wilmington,DE,19801
FL-500,"1750 17th Street, Building C-1",Sarasota,FL,34234
FL-501,"601 E. Kennedy Blvd., 24th Floor",Tampa,FL,33602
FL-502,647 1st Avenue North,St. Petersburg,FL,33701
FL-503,328 W Highland Drive,Lakeland,FL,33813
FL-504,324 North Street,Daytona Beach,FL,32114
FL-505,183 Eglin Parkway NE,Ft Walton Beach,FL,32547
