CoC Number,under18,between,over24
AK-500,0.12182061579651941,0.09705488621151272,0.7811244979919679
AK-501,0.17675544794188863,0.07021791767554479,0.7530266343825666
AL-500,0.08695652173913043,0.04559915164369035,0.8674443266171792
AL-501,0.252991452991453,0.05128205128205128,0.6957264957264957
AL-502,0.2413793103448276,0.07758620689655173,0.6810344827586207
AL-503,0.1930783242258652,0.0692167577413479,0.7377049180327869
AL-504,0.10071942446043165,0.046762589928057555,0.8525179856115108
AL-505,0.010526315789473684,0.05789473684210526,0.9315789473684211
AL-506,0.1,0.0,0.9
AL-507,0.3893048128342246,0.06844919786096257,0.5422459893048128
AR-500,0.119906868451688,0.1548311990686845,0.7252619324796274
AR-501,0.23323615160349853,0.04664723032069971,0.7201166180758017
AR-503,0.06142506142506143,0.10687960687960688,0.8316953316953317
AR-505,0.14492753623188406,0.10144927536231885,0.7536231884057971
AR-508,0.0,0.0,1.0
AZ-500,0.1091304347826087,0.04782608695652174,0.8430434782608696
AZ-501,0.10417602155365963,0.10103277952402336,0.794791198922317
AZ-502,0.13738089962331043,0.08298249501440283,0.7796366053622867
CA-500,0.05374950139609094,0.11866773035500598,0.8275827682489031
CA-501,0.054552489037915916,0.13270570028372453,0.8127418106783596
CA-502,0.05981327587975788,0.08248691905201601,0.8576998050682261
CA-503,0.0838542789394266,0.0685492563052382,0.8475964647553352
CA-504,0.036640165917732455,0.17525060490839958,0.7881092291738679
CA-505,0.03427093436792758,0.07371483996120272,0.8920142256708697
CA-506,0.10024958402662229,0.09400998336106489,0.8057404326123128
CA-507,0.1239964317573595,0.12488849241748438,0.7511150758251561
CA-508,0.04001739886907351,0.10308829926054806,0.8568943018703784
CA-509,0.0855421686746988,0.051807228915662654,0.8626506024096385
CA-510,0.09854604200323101,0.04954227248249865,0.8519116855142703
CA-511,0.141871496334627,0.04139715394566624,0.8167313497197067
CA-512,0.11946902654867257,0.03982300884955752,0.8407079646017699
CA-513,0.07044534412955465,0.05668016194331984,0.8728744939271255
CA-514,0.11005692599620494,0.030597722960151803,0.8593453510436433
CA-515,0.07866666666666666,0.05733333333333333,0.864
CA-516,0.11867174741426238,0.05280348394120849,0.8285247686445292
CA-517,0.03434343434343434,0.05858585858585859,0.907070707070707
CA-518,0.0551314673452078,0.056827820186598814,0.8880407124681934
CA-519,0.09443339960238568,0.0437375745526839,0.8618290258449304
CA-520,0.17777777777777778,0.07368421052631578,0.7485380116959064
CA-521,0.12198391420911528,0.06300268096514745,0.8150134048257373
CA-522,0.028519417475728157,0.037014563106796114,0.9344660194174758
CA-523,0.31470588235294117,0.047058823529411764,0.638235294117647
CA-524,0.2522851919561243,0.05850091407678245,0.6892138939670932
CA-525,0.0273972602739726,0.1643835616438356,0.8082191780821918
CA-526,0.0784,0.0448,0.8768
CA-527,0.13745704467353953,0.048109965635738834,0.8144329896907216
CA-529,0.07964601769911504,0.07374631268436578,0.8466076696165191
CA-530,0.22142857142857142,0.05,0.7285714285714285
CA-531,0.11385199240986717,0.04743833017077799,0.8387096774193549
CA-600,0.0974643301439081,0.04278846892230192,0.85974720093379
CA-601,0.1394327756022309,0.07915035006526641,0.7814168743325026
CA-602,0.12626792584819868,0.041098286114025884,0.8326337880377754
CA-603,0.06880733944954129,0.0382262996941896,0.8929663608562691
CA-604,0.1041796631316282,0.061759201497192766,0.834061135371179
CA-606,0.02063106796116505,0.04156553398058253,0.9378033980582524
CA-607,0.083984375,0.0625,0.853515625
CA-608,0.07750301568154402,0.09408926417370325,0.8284077201447527
CA-609,0.081008100810081,0.045004500450045004,0.873987398739874
CA-611,0.06895017793594306,0.03825622775800712,0.8927935943060499
CA-612,0.2,0.022222222222222223,0.7777777777777778
CA-613,0.09082308420056764,0.027436140018921477,0.8817407757805109
CA-614,0.17610497237569062,0.04834254143646409,0.7755524861878453
CO-500,0.11939163498098859,0.06920152091254753,0.8114068441064639
CO-503,0.11606624055781523,0.0489540964555491,0.8349796629866357
CO-504,0.20128022759601708,0.07823613086770982,0.7204836415362731
CO-505,0.12626262626262627,0.04671717171717172,0.827020202020202
CT-503,0.19900497512437812,0.07296849087893864,0.7280265339966833
CT-505,0.18908465835840138,0.06918779544477868,0.7417275461968199
DC-500,0.1360544217687075,0.11541950113378685,0.7485260770975056
DE-500,0.32460953989024904,0.08442380751371886,0.5909666525960321
FL-500,0.09753954305799649,0.05184534270650264,0.8506151142355008
FL-501,0.19167217448777263,0.03304692663582287,0.7752808988764045
FL-502,0.15062972292191434,0.029219143576826197,0.8201511335012595
FL-503,0.1956521739130435,0.04940711462450593,0.7549407114624506
FL-504,0.22658959537572254,0.05086705202312139,0.7225433526011561
FL-505,0.10421836228287841,0.06699751861042183,0.8287841191066998
FL-506,0.1642512077294686,0.02576489533011272,0.8099838969404187
FL-507,0.2556950255695026,0.05811250581125058,0.6861924686192469
FL-508,0.0918918918918919,0.04108108108108108,0.867027027027027
FL-509,0.21040189125295508,0.057919621749408984,0.7316784869976359
FL-510,0.15793588741204065,0.05707584050039093,0.7849882720875684
FL-511,0.02888583218707015,0.027510316368638238,0.9436038514442916
FL-512,0.07163323782234957,0.04871060171919771,0.8796561604584527
FL-513,0.14301310043668122,0.03275109170305677,0.824235807860262
FL-514,0.189010989010989,0.03296703296703297,0.778021978021978
FL-515,0.07142857142857142,0.05555555555555555,0.873015873015873
FL-517,0.06153846153846154,0.0,0.9384615384615385
FL-518,0.20901639344262296,0.0430327868852459,0.7479508196721312
FL-519,0.14261460101867574,0.04753820033955857,0.8098471986417657
FL-520,0.2040268456375839,0.07785234899328859,0.7181208053691275
FL-600,0.2042124542124542,0.057997557997558,0.7377899877899878
FL-601,0.12268743914313535,0.03261927945472249,0.8446932814021422
FL-602,0.16891891891891891,0.07432432432432433,0.7567567567567568
FL-603,0.175,0.05714285714285714,0.7678571428571429
FL-604,0.08365019011406843,0.024714828897338403,0.8916349809885932
FL-605,0.12464387464387465,0.08190883190883191,0.7934472934472935
FL-606,0.22510822510822512,0.04329004329004329,0.7316017316017316
GA-500,0.08081308874566187,0.06544372830937036,0.8537431829449678
GA-501,0.17349726775956284,0.05362021857923497,0.7728825136612022
GA-502,0.2600732600732601,0.054945054945054944,0.684981684981685
GA-503,0.20848056537102475,0.0812720848056537,0.7102473498233216
GA-504,0.1092896174863388,0.052823315118397086,0.8378870673952641
GA-505,0.03292181069958848,0.04526748971193416,0.9218106995884774
GA-506,0.24473684210526317,0.04473684210526316,0.7105263157894737
GA-507,0.26003824091778205,0.06309751434034416,0.6768642447418738
GA-508,0.3168141592920354,0.0743362831858407,0.6088495575221239
GU-500,0.34406623735050595,0.10487580496780129,0.5510579576816927
HI-500,0.1582591493570722,0.04797230464886251,0.7937685459940653
HI-501,0.13814955640050697,0.05272496831432193,0.8091254752851711
IA-500,0.18396226415094338,0.018867924528301886,0.7971698113207547
IA-501,0.23922548407245472,0.07495315427857589,0.6858213616489693
IA-502,0.10396039603960396,0.06765676567656766,0.8283828382838284
ID-500,0.09032258064516129,0.0467741935483871,0.8629032258064516
ID-501,0.29245283018867924,0.07474600870827286,0.6328011611030478
IL-500,0.14130434782608695,0.10869565217391304,0.75
IL-501,0.2413793103448276,0.10344827586206896,0.6551724137931034
IL-502,0.32018561484918795,0.08120649651972157,0.5986078886310905
IL-503,0.24817518248175183,0.17518248175182483,0.5766423357664233
IL-504,0.2916666666666667,0.020833333333333332,0.6875
IL-506,0.2100456621004566,0.0639269406392694,0.726027397260274
IL-507,0.1572700296735905,0.04747774480712166,0.7952522255192879
IL-508,0.19796954314720813,0.09644670050761421,0.7055837563451777
IL-510,0.1615483870967742,0.08464516129032258,0.7538064516129033
IL-511,0.29288321167883213,0.10675182481751824,0.6003649635036497
IL-512,0.17012448132780084,0.15767634854771784,0.6721991701244814
IL-513,0.1893939393939394,0.125,0.6856060606060606
IL-514,0.34954954954954953,0.17117117117117117,0.47927927927927927
IL-515,0.21019108280254778,0.08917197452229299,0.7006369426751592
IL-516,0.12903225806451613,0.03225806451612903,0.8387096774193549
IL-517,0.12531969309462915,0.07672634271099744,0.7979539641943734
IL-518,0.08928571428571429,0.175,0.7357142857142858
IL-519,0.36082474226804123,0.16494845360824742,0.4742268041237113
IL-520,0.2701612903225806,0.04838709677419355,0.6814516129032258
IN-502,0.18899132321041215,0.05883947939262473,0.7521691973969631
IN-503,0.1788756388415673,0.06700738216922203,0.7541169789892107
KS-502,0.15942028985507245,0.06811594202898551,0.7724637681159421
KS-503,0.1095890410958904,0.052054794520547946,0.8383561643835616
KS-505,0.28773584905660377,0.09905660377358491,0.6132075471698113
KS-507,0.15823466092572658,0.0688912809472551,0.7728740581270183
KY-500,0.1658291457286432,0.07400639561443581,0.760164458656921
KY-501,0.15648148148148147,0.0787037037037037,0.7648148148148148
KY-502,0.1062937062937063,0.044755244755244755,0.848951048951049
LA-500,0.2849002849002849,0.05982905982905983,0.6552706552706553
LA-502,0.11764705882352941,0.047058823529411764,0.8352941176470589
LA-503,0.06177924217462932,0.08484349258649095,0.8533772652388797
LA-505,0.33088235294117646,0.051470588235294115,0.6176470588235294
LA-506,0.3698854337152209,0.016366612111292964,0.613747954173486
LA-507,0.26666666666666666,0.10666666666666667,0.6266666666666667
LA-509,0.373282604100613,0.01056859015007398,0.6161488057493131
MA-500,0.3847713448974994,0.08132462266276189,0.5339040324397387
MA-502,0.5381903642773208,0.06580493537015276,0.39600470035252644
MA-503,0.23173803526448364,0.0327455919395466,0.7355163727959698
MA-504,0.483435047951177,0.08108108108108109,0.43548387096774194
MA-505,0.31891891891891894,0.07297297297297298,0.6081081081081081
MA-506,0.3069694596711042,0.08927173061863743,0.6037588097102584
MA-507,0.16974169741697417,0.07564575645756458,0.7546125461254612
MA-509,0.12727272727272726,0.08863636363636364,0.7840909090909091
MA-511,0.3462301587301587,0.05853174603174603,0.5952380952380952
MA-515,0.37119113573407203,0.04986149584487535,0.5789473684210527
MA-516,0.4145285935085008,0.0775888717156105,0.5078825347758887
MA-519,0.43686006825938567,0.07508532423208192,0.4880546075085324
MD-501,0.12836568566061365,0.043206011271133375,0.828428303068253
MD-503,0.2280130293159609,0.048859934853420196,0.7231270358306189
MD-504,0.2909090909090909,0.07878787878787878,0.6303030303030303
MD-505,0.27564102564102566,0.05982905982905983,0.6645299145299145
MD-506,0.15789473684210525,0.07894736842105263,0.7631578947368421
MD-509,0.1574074074074074,0.09259259259259259,0.75
MD-511,0.39655172413793105,0.08620689655172414,0.5172413793103449
MD-513,0.14767932489451477,0.03375527426160337,0.8185654008438819
MD-514,0.2222222222222222,0.0721747388414055,0.7056030389363722
MD-600,0.3076923076923077,0.13883677298311445,0.5534709193245778
MD-601,0.17728055077452667,0.060240963855421686,0.7624784853700516
ME-500,0.2432554976195874,0.06574472908637498,0.6909997732940376
MI-500,0.305993690851735,0.0694006309148265,0.6246056782334385
MI-501,0.25014784151389713,0.08219988172678888,0.667652276759314
MI-503,0.29411764705882354,0.051470588235294115,0.6544117647058824
MI-504,0.346875,0.128125,0.525
MI-505,0.16666666666666666,0.06944444444444445,0.7638888888888888
MI-506,0.2442528735632184,0.09770114942528736,0.6580459770114943
MI-507,0.21106557377049182,0.055327868852459015,0.7336065573770492
MI-508,0.2524271844660194,0.0854368932038835,0.6621359223300971
MI-509,0.17061611374407584,0.08530805687203792,0.7440758293838863
MI-510,0.3706070287539936,0.05750798722044728,0.5718849840255591
MI-511,0.310126582278481,0.0759493670886076,0.6139240506329114
MI-512,0.14634146341463414,0.06097560975609756,0.7926829268292683
MI-514,0.1834862385321101,0.027522935779816515,0.7889908256880734
MI-515,0.18018018018018017,0.06306306306306306,0.7567567567567568
MI-516,0.26666666666666666,0.0962962962962963,0.6370370370370371
MI-517,0.14444444444444443,0.08888888888888889,0.7666666666666667
MI-518,0.3917525773195876,0.05154639175257732,0.5567010309278351
MI-519,0.175,0.085,0.74
MI-523,0.6176470588235294,0.04411764705882353,0.3382352941176471
MN-500,0.248319641523525,0.09260642270351008,0.6590739357729649
MN-501,0.18096906012842964,0.07005253940455342,0.7489784004670169
MN-502,0.2927835051546392,0.09072164948453608,0.6164948453608248
MN-503,0.25335120643431636,0.1380697050938338,0.6085790884718498
MN-504,0.336283185840708,0.07079646017699115,0.5929203539823009
MN-505,0.2740174672489083,0.10043668122270742,0.6255458515283843
MN-506,0.35789473684210527,0.17543859649122806,0.4666666666666667
MN-508,0.3715415019762846,0.11857707509881422,0.5098814229249012
MN-509,0.21441441441441442,0.0936936936936937,0.6918918918918919
MN-511,0.3583815028901734,0.19653179190751446,0.44508670520231214
MO-500,0.32345013477088946,0.3611859838274933,0.31536388140161725
MO-501,0.15954664341761116,0.08979947689625109,0.7506538796861377
MO-503,0.30823529411764705,0.07529411764705882,0.6164705882352941
MO-600,0.172147001934236,0.08704061895551257,0.7408123791102514
MO-602,0.14285714285714285,0.04329004329004329,0.8138528138528138
MO-603,0.18243243243243243,0.0472972972972973,0.7702702702702703
MO-604a,0.14077397644419518,0.0628154795288839,0.7964105440269209
MO-606,0.1935073201782304,0.07511139401654997,0.7313812858052197
MP-500,0.3388566694283347,0.09693454846727423,0.5642087821043911
MS-500,0.039755351681957186,0.1452599388379205,0.8149847094801224
MS-501,0.0847953216374269,0.04093567251461988,0.8742690058479532
MS-503,0.075,0.08,0.845
MT-500,0.1665615141955836,0.07634069400630915,0.7570977917981072
NC-500,0.1561771561771562,0.06526806526806526,0.7785547785547785
NC-501,0.04709576138147567,0.04552590266875981,0.9073783359497645
NC-502,0.16339869281045752,0.05228758169934641,0.7843137254901961
NC-503,0.1979124849458049,0.05299076676033721,0.7490967482938579
NC-504,0.14788732394366197,0.07276995305164319,0.7793427230046949
NC-505,0.1902328222600795,0.039750141964792735,0.7700170357751278
NC-506,0.1440922190201729,0.05763688760806916,0.7982708933717579
NC-507,0.30964797913950454,0.11277705345501955,0.5775749674054759
NC-509,0.13682092555331993,0.06639839034205232,0.7967806841046278
NC-511,0.06315789473684211,0.002105263157894737,0.9347368421052632
NC-513,0.09774436090225563,0.022556390977443608,0.8796992481203008
NC-516,0.22797927461139897,0.06217616580310881,0.7098445595854922
ND-500,0.1901639344262295,0.07377049180327869,0.7360655737704918
NE-500,0.21991701244813278,0.10580912863070539,0.6742738589211619
NE-501,0.12332838038632987,0.04309063893016345,0.8335809806835067
NE-502,0.24162679425837322,0.10287081339712918,0.6555023923444976
NH-500,0.17038777908343125,0.09400705052878966,0.7356051703877791
NH-501,0.1968810916179337,0.07407407407407407,0.7290448343079922
NH-502,0.2863070539419087,0.04149377593360996,0.6721991701244814
NJ-500,0.0641399416909621,0.08454810495626822,0.8513119533527697
NJ-501,0.3464052287581699,0.08496732026143791,0.5686274509803921
NJ-502,0.28888888888888886,0.07179487179487179,0.6393162393162393
NJ-503,0.15694164989939638,0.06539235412474849,0.7776659959758552
NJ-504,0.18756530825496343,0.08725182863113898,0.7251828631138976
NJ-506,0.12180451127819548,0.058646616541353384,0.8195488721804511
NJ-507,0.2354948805460751,0.06655290102389079,0.6979522184300341
NJ-508,0.24061810154525387,0.07505518763796909,0.6843267108167771
NJ-509,0.2564102564102564,0.06837606837606838,0.6752136752136753
NJ-510,0.33651551312649164,0.059665871121718374,0.60381861575179
NJ-511,0.17647058823529413,0.0481283422459893,0.7754010695187166
NJ-512,0.3,0.1,0.6
NJ-513,0.31363636363636366,0.08636363636363636,0.6
NJ-514,0.2176360225140713,0.07692307692307693,0.7054409005628518
NJ-515,0.2162962962962963,0.0962962962962963,0.6874074074074074
NJ-516,0.18789808917197454,0.04777070063694268,0.7643312101910829
