CoC Number,under18,binary
AK-500,0.12182061579651941,0.9939759036144579
AK-501,0.17675544794188863,0.9975786924939467
AL-500,0.08695652173913043,0.9872746553552492
AL-501,0.252991452991453,0.9948717948717949
AL-502,0.2413793103448276,1.0
AL-503,0.1930783242258652,0.9927140255009107
AL-504,0.10071942446043165,1.0
AL-505,0.010526315789473684,1.0
AL-506,0.1,1.0
AL-507,0.3893048128342246,0.9989304812834224
AR-500,0.119906868451688,0.9976717112922002
AR-501,0.23323615160349853,0.9883381924198251
AR-503,0.06142506142506143,0.9963144963144963
AR-505,0.14492753623188406,1.0
AR-508,0.0,1.0
AZ-500,0.1091304347826087,0.9934782608695653
AZ-501,0.10417602155365963,0.9887741356084419
AZ-502,0.13738089962331043,0.996122313317084
CA-500,0.05374950139609094,0.9793577981651376
CA-501,0.054552489037915916,0.9575702863038432
CA-502,0.05981327587975788,0.9861495844875346
CA-503,0.0838542789394266,0.9780125026945462
CA-504,0.036640165917732455,0.9744210162461113
CA-505,0.03427093436792758,0.9573229873908826
CA-506,0.10024958402662229,0.9871048252911814
CA-507,0.1239964317573595,0.9821587867975022
CA-508,0.04001739886907351,0.9860809047411918
CA-509,0.0855421686746988,0.9518072289156626
CA-510,0.09854604200323101,0.9935379644588045
CA-511,0.141871496334627,0.9969814575247952
CA-512,0.11946902654867257,0.9894911504424779
CA-513,0.07044534412955465,0.9959514170040485
CA-514,0.11005692599620494,0.9924098671726755
CA-515,0.07866666666666666,0.9946666666666667
CA-516,0.11867174741426238,0.995100707675558
CA-517,0.03434343434343434,0.9919191919191919
CA-518,0.0551314673452078,0.9821882951653944
CA-519,0.09443339960238568,0.9880715705765407
CA-520,0.17777777777777778,0.9964912280701754
CA-521,0.12198391420911528,0.9986595174262735
CA-522,0.028519417475728157,0.9921116504854369
CA-523,0.31470588235294117,1.0
CA-524,0.2522851919561243,0.9981718464351006
CA-525,0.0273972602739726,0.9628180039138943
CA-526,0.0784,0.9968
CA-527,0.13745704467353953,1.0
