CoC Number,under18,white
AK-500,0.12182061579651941,0.29852744310575635
AK-501,0.17675544794188863,0.45036319612590797
AL-500,0.08695652173913043,0.3054082714740191
AL-501,0.252991452991453,0.3641025641025641
AL-502,0.2413793103448276,0.6939655172413793
AL-503,0.1930783242258652,0.5191256830601093
AL-504,0.10071942446043165,0.26618705035971224
AL-505,0.010526315789473684,0.5842105263157895
AL-506,0.1,0.15
AL-507,0.3893048128342246,0.29197860962566846
AR-500,0.119906868451688,0.48661233993015135
AR-501,0.23323615160349853,0.7755102040816326
AR-503,0.06142506142506143,0.812039312039312
AR-505,0.14492753623188406,0.5652173913043478
AR-508,0.0,0.7941176470588235
AZ-500,0.1091304347826087,0.7052173913043478
AZ-501,0.10417602155365963,0.6946564885496184
AZ-502,0.13738089962331043,0.6250830932860625
CA-500,0.05374950139609094,0.5991224571200638
CA-501,0.054552489037915916,0.4271343822543204
CA-502,0.05981327587975788,0.38627269929208985
CA-503,0.0838542789394266,0.4646475533520155
CA-504,0.036640165917732455,0.6685101970273073
CA-505,0.03427093436792758,0.5134173941157453
CA-506,0.10024958402662229,0.5894342762063228
CA-507,0.1239964317573595,0.6503122212310437
CA-508,0.04001739886907351,0.7394519356241844
CA-509,0.0855421686746988,0.8397590361445784
CA-510,0.09854604200323101,0.7399030694668821
CA-511,0.141871496334627,0.6308753773178094
CA-512,0.11946902654867257,0.6078539823008849
CA-513,0.07044534412955465,0.7773279352226721
CA-514,0.11005692599620494,0.603415559772296
CA-515,0.07866666666666666,0.82
CA-516,0.11867174741426238,0.7806205770277627
CA-517,0.03434343434343434,0.8383838383838383
CA-518,0.0551314673452078,0.5122985581000848
CA-519,0.09443339960238568,0.790258449304175
CA-520,0.17777777777777778,0.6128654970760234
CA-521,0.12198391420911528,0.660857908847185
CA-522,0.028519417475728157,0.8046116504854369
CA-523,0.31470588235294117,0.8588235294117647
CA-524,0.2522851919561243,0.6252285191956124
CA-525,0.0273972602739726,0.8904109589041096
CA-526,0.0784,0.8624
CA-527,0.13745704467353953,0.9003436426116839
CA-529,0.07964601769911504,0.5722713864306784
CA-530,0.22142857142857142,0.9285714285714286
CA-531,0.11385199240986717,0.9013282732447818
CA-600,0.0974643301439081,0.44685229838276175
CA-601,0.1394327756022309,0.6563427079625015
CA-602,0.12626792584819868,0.7093389296956978
CA-603,0.06880733944954129,0.8328236493374108
CA-604,0.1041796631316282,0.7105427323767936
CA-606,0.02063106796116505,0.5394417475728155
CA-607,0.083984375,0.546875
CA-608,0.07750301568154402,0.6752110977080821
CA-609,0.081008100810081,0.5862586258625863
CA-611,0.06895017793594306,0.7909252669039146
CA-612,0.2,0.7555555555555555
CA-613,0.09082308420056764,0.8789025543992431
CA-614,0.17610497237569062,0.8439226519337016
CO-500,0.11939163498098859,0.785551330798479
CO-503,0.11606624055781523,0.6202789076118536
CO-504,0.20128022759601708,0.6415362731152204
CO-505,0.12626262626262627,0.797979797979798
CT-503,0.19900497512437812,0.4494195688225539
CT-505,0.18908465835840138,0.5556510528577567
DC-500,0.1360544217687075,0.09138321995464853
DE-500,0.32460953989024904,0.3212325875897003
FL-500,0.09753954305799649,0.7609841827768014
FL-501,0.19167217448777263,0.46133509583608723
FL-502,0.15062972292191434,0.5692695214105793
FL-503,0.1956521739130435,0.6027667984189723
FL-504,0.22658959537572254,0.5895953757225434
FL-505,0.10421836228287841,0.71712158808933
FL-506,0.1642512077294686,0.33494363929146537
FL-507,0.2556950255695026,0.45467224546722457
FL-508,0.0918918918918919,0.5156756756756756
FL-509,0.21040189125295508,0.7115839243498818
FL-510,0.15793588741204065,0.3307271305707584
FL-511,0.02888583218707015,0.6162310866574966
FL-512,0.07163323782234957,0.8624641833810889
FL-513,0.14301310043668122,0.7205240174672489
FL-514,0.189010989010989,0.6725274725274726
FL-515,0.07142857142857142,0.6693121693121693
FL-517,0.06153846153846154,0.5153846153846153
FL-518,0.20901639344262296,0.5532786885245902
FL-519,0.14261460101867574,0.8234295415959253
FL-520,0.2040268456375839,0.7342281879194631
FL-600,0.2042124542124542,0.46916971916971917
FL-601,0.12268743914313535,0.3047711781888997
FL-602,0.16891891891891891,0.8783783783783784
FL-603,0.175,0.6946428571428571
FL-604,0.08365019011406843,0.8726235741444867
FL-605,0.12464387464387465,0.4287749287749288
FL-606,0.22510822510822512,0.6883116883116883
GA-500,0.08081308874566187,0.11452652454139811
GA-501,0.17349726775956284,0.5433743169398907
GA-502,0.2600732600732601,0.10256410256410256
GA-503,0.20848056537102475,0.4134275618374558
GA-504,0.1092896174863388,0.3533697632058288
GA-505,0.03292181069958848,0.551440329218107
GA-506,0.24473684210526317,0.33421052631578946
GA-507,0.26003824091778205,0.38049713193116635
GA-508,0.3168141592920354,0.08849557522123894
GU-500,0.34406623735050595,0.012879484820607176
HI-500,0.1582591493570722,0.2858555885262117
HI-501,0.13814955640050697,0.18960709759188846
IA-500,0.18396226415094338,0.5
IA-501,0.23922548407245472,0.6608369768894441
IA-502,0.10396039603960396,0.7095709570957096
ID-500,0.09032258064516129,0.885483870967742
ID-501,0.29245283018867924,0.8468795355587808
IL-500,0.14130434782608695,0.9130434782608695
IL-501,0.2413793103448276,0.3916256157635468
IL-502,0.32018561484918795,0.35730858468677495
IL-503,0.24817518248175183,0.39416058394160586
IL-504,0.2916666666666667,0.5104166666666666
IL-506,0.2100456621004566,0.547945205479452
IL-507,0.1572700296735905,0.6706231454005934
IL-508,0.19796954314720813,0.2639593908629442
IL-510,0.1615483870967742,0.1950967741935484
IL-511,0.29288321167883213,0.3740875912408759
IL-512,0.17012448132780084,0.46887966804979253
IL-513,0.1893939393939394,0.4015151515151515
IL-514,0.34954954954954953,0.4252252252252252
IL-515,0.21019108280254778,0.9363057324840764
IL-516,0.12903225806451613,0.5698924731182796
IL-517,0.12531969309462915,0.6010230179028133
IL-518,0.08928571428571429,0.55
IL-519,0.36082474226804123,0.5773195876288659
IL-520,0.2701612903225806,0.7258064516129032
IN-502,0.18899132321041215,0.7074295010845987
IN-503,0.1788756388415673,0.37251561612720047
KS-502,0.15942028985507245,0.5884057971014492
KS-503,0.1095890410958904,0.7205479452054795
KS-505,0.28773584905660377,0.6179245283018868
KS-507,0.15823466092572658,0.7244348762109796
KY-500,0.1658291457286432,0.8501598903608953
KY-501,0.15648148148148147,0.49166666666666664
KY-502,0.1062937062937063,0.6923076923076923
LA-500,0.2849002849002849,0.3732193732193732
LA-502,0.11764705882352941,0.4588235294117647
LA-503,0.06177924217462932,0.3599670510708402
LA-505,0.33088235294117646,0.3088235294117647
LA-506,0.3698854337152209,0.29296235679214405
LA-507,0.26666666666666666,0.29333333333333333
LA-509,0.373282604100613,0.26886493341788203
MA-500,0.3847713448974994,0.3653976120747916
MA-502,0.5381903642773208,0.4136310223266745
MA-503,0.23173803526448364,0.743073047858942
MA-504,0.483435047951177,0.7423714036617263
MA-505,0.31891891891891894,0.6378378378378379
MA-506,0.3069694596711042,0.6891151135473766
MA-507,0.16974169741697417,0.7952029520295203
MA-509,0.12727272727272726,0.5772727272727273
MA-511,0.3462301587301587,0.4503968253968254
MA-515,0.37119113573407203,0.6094182825484764
MA-516,0.4145285935085008,0.6098918083462133
MA-519,0.43686006825938567,0.5733788395904437
MD-501,0.12836568566061365,0.24232936756418283
MD-503,0.2280130293159609,0.48534201954397393
MD-504,0.2909090909090909,0.26666666666666666
MD-505,0.27564102564102566,0.3611111111111111
MD-506,0.15789473684210525,0.8026315789473685
MD-509,0.1574074074074074,0.5601851851851852
MD-511,0.39655172413793105,0.49137931034482757
MD-513,0.14767932489451477,0.4177215189873418
MD-514,0.2222222222222222,0.5261158594491928
MD-600,0.3076923076923077,0.09193245778611632
MD-601,0.17728055077452667,0.2667814113597246
ME-500,0.2432554976195874,0.6588075266379506
MI-500,0.305993690851735,0.8271293375394322
MI-501,0.25014784151389713,0.09757539917208752
MI-503,0.29411764705882354,0.45588235294117646
MI-504,0.346875,0.228125
MI-505,0.16666666666666666,0.36944444444444446
MI-506,0.2442528735632184,0.42049808429118773
MI-507,0.21106557377049182,0.4364754098360656
MI-508,0.2524271844660194,0.5262135922330097
MI-509,0.17061611374407584,0.4312796208530806
MI-510,0.3706070287539936,0.3035143769968051
MI-511,0.310126582278481,0.6518987341772152
MI-512,0.14634146341463414,0.8536585365853658
MI-514,0.1834862385321101,0.5458715596330275
MI-515,0.18018018018018017,0.7567567567567568
MI-516,0.26666666666666666,0.4444444444444444
MI-517,0.14444444444444443,0.6333333333333333
MI-518,0.3917525773195876,0.9690721649484536
MI-519,0.175,0.795
MI-523,0.6176470588235294,0.6176470588235294
MN-500,0.248319641523525,0.23898431665421957
MN-501,0.18096906012842964,0.30823117338003503
MN-502,0.2927835051546392,0.5587628865979382
MN-503,0.25335120643431636,0.5495978552278821
MN-504,0.336283185840708,0.6902654867256637
MN-505,0.2740174672489083,0.49344978165938863
MN-506,0.35789473684210527,0.3263157894736842
MN-508,0.3715415019762846,0.4901185770750988
MN-509,0.21441441441441442,0.4774774774774775
MN-511,0.3583815028901734,0.6820809248554913
MO-500,0.32345013477088946,0.1778975741239892
MO-501,0.15954664341761116,0.24498692240627726
MO-503,0.30823529411764705,0.7058823529411765
MO-600,0.172147001934236,0.804642166344294
MO-602,0.14285714285714285,0.8484848484848485
MO-603,0.18243243243243243,0.7702702702702703
MO-604a,0.14077397644419518,0.5423443634324173
